#timestamp x y z qx qy qz qw
464.938000 -3.221052 -2.188922 -0.229048 -0.013087 -0.017818 -0.303518 0.952569
465.202000 -3.194485 -2.240657 -0.226097 -0.010265 -0.019566 -0.426685 0.904130
465.433000 -3.183048 -2.295131 -0.223475 -0.007360 -0.020813 -0.535936 0.843970
465.664000 -3.184210 -2.349426 -0.221235 -0.004539 -0.021586 -0.628051 0.777859
465.895000 -3.196977 -2.402566 -0.219398 -0.001734 -0.021961 -0.709546 0.704314
466.126000 -3.225011 -2.434358 -0.220765 0.000295 -0.022066 -0.771288 0.636104
467.083000 -3.250180 -2.460365 -0.218635 0.002019 -0.021933 -0.816284 0.577231
467.314000 -3.298347 -2.484433 -0.224829 0.003125 -0.022016 -0.855293 0.517667
467.545000 -3.339241 -2.513810 -0.223854 -0.004986 0.021962 0.892646 -0.450195
467.776000 -3.383166 -2.537846 -0.223166 -0.006600 0.021831 0.920056 -0.391123
468.000000 -2.420516 -4.529562 -0.122983 -0.007054 0.021995 0.924002 -0.381689
468.238000 -3.464372 -2.565205 -0.217876 -0.009100 0.020204 0.955059 -0.295585
468.502000 -3.522532 -2.582777 -0.217920 -0.010271 0.019973 0.966749 -0.254738
468.733000 -3.566508 -2.612580 -0.220634 -0.011461 0.019362 0.979534 -0.200016
469.195000 -3.671023 -2.670239 -0.224929 -0.012747 0.018458 0.991669 -0.126848
469.426000 -3.726997 -2.704515 -0.228517 -0.013647 0.017636 0.997905 -0.060732
469.690000 -3.787678 -2.711854 -0.230847 -0.014492 0.016738 0.999755 -0.000390
470.614000 -3.850142 -2.745013 -0.232594 -0.012232 0.018272 0.993092 -0.115257
470.845000 -3.837529 -2.784109 -0.233280 -0.010360 0.019412 0.976352 -0.215065
471.076000 -3.833533 -2.795780 -0.234342 -0.009121 0.019980 0.960632 -0.276954
471.802000 -3.945797 -2.847474 -0.237403 -0.010468 0.019284 0.977081 -0.211735
472.198000 -4.034125 -2.879025 -0.237420 -0.011827 0.018576 0.988013 -0.152794
472.660000 -4.137462 -2.909211 -0.240175 -0.012410 0.018352 0.991767 -0.126121
474.145000 -4.235476 -2.905705 -0.239306 -0.014168 0.017116 0.998557 -0.048895
474.409000 -4.294088 -2.876197 -0.240285 -0.015569 0.015587 0.998157 0.056552
474.640000 -4.341239 -2.838629 -0.241228 -0.016937 0.013947 0.986400 0.162893
474.871000 -4.382068 -2.796169 -0.242286 -0.018222 0.012231 0.963273 0.267626
475.135000 -4.390775 -2.770298 -0.242292 -0.019026 0.010833 0.939908 0.340726
475.828000 -4.396506 -2.782638 -0.240758 -0.017614 0.012847 0.972104 0.233533
476.059000 -4.396713 -2.784984 -0.238846 -0.016947 0.013599 0.983016 0.182228
476.521000 -4.449237 -2.771782 -0.238775 -0.016163 0.014355 0.992030 0.124134
477.016000 -4.563579 -2.756463 -0.240282 -0.015386 0.015204 0.998124 0.057269
477.247000 -4.615637 -2.752184 -0.239669 -0.015185 0.015547 0.999552 0.020567
477.709000 -4.726357 -2.755294 -0.239422 -0.014682 0.016359 0.998648 -0.047099
479.194000 -4.826334 -2.837675 -0.248089 -0.012741 0.017439 0.993208 -0.114327
479.656000 -4.927841 -2.873371 -0.249369 -0.012008 0.017961 0.986885 -0.159976
480.349000 -4.994111 -2.915093 -0.249454 -0.010199 0.019056 0.965361 -0.260022
480.613000 -4.978843 -2.929668 -0.247979 -0.007733 0.020199 0.923006 -0.384178
480.844000 -4.961837 -2.939826 -0.246590 -0.005351 0.020952 0.869897 -0.492760
481.075000 -4.950119 -2.943057 -0.245574 0.003949 -0.021258 -0.832396 0.553759
481.801000 -5.020644 -3.032193 -0.244398 -0.006918 0.020501 0.899882 -0.435597
482.197000 -5.107087 -3.071206 -0.245280 -0.010336 0.018995 0.959520 -0.280810
482.428000 -5.160947 -3.084648 -0.245970 -0.011908 0.018058 0.978138 -0.206831
482.659000 -5.212280 -3.096447 -0.246649 -0.013055 0.017249 0.988190 -0.151698
482.923000 -5.271666 -3.103007 -0.247759 -0.013963 0.016567 0.993840 -0.108690
483.418000 -5.376012 -3.133962 -0.250419 -0.013319 0.017286 0.987972 -0.153086
483.946000 -5.485532 -3.193287 -0.252403 -0.011987 0.018422 0.972649 -0.231239
484.441000 -5.583251 -3.252294 -0.254027 -0.011518 0.018888 0.965551 -0.259271
485.431000 -5.703762 -3.330441 -0.255799 -0.011160 0.019266 0.959755 -0.279955
485.959000 -5.805568 -3.399974 -0.257230 -0.010925 0.019548 0.956005 -0.292494
486.421000 -5.892886 -3.464105 -0.258351 -0.010673 0.019837 0.951991 -0.305297
486.916000 -5.981600 -3.530360 -0.259438 -0.010543 0.020046 0.950112 -0.311085
487.609000 -6.003440 -3.575348 -0.259008 -0.007625 0.021463 0.897963 -0.439482
487.873000 -5.981303 -3.586718 -0.258212 0.004391 -0.022471 -0.825650 0.563718
488.104000 -5.964034 -3.590787 -0.257807 0.002044 -0.022933 -0.765449 0.643085
489.028000 -6.012144 -3.718683 -0.255473 0.004748 -0.022672 -0.837759 0.545549
489.259000 -6.044847 -3.760502 -0.255448 -0.006086 0.022490 0.870362 -0.491861
489.490000 -6.083500 -3.800016 -0.255681 -0.007389 0.022266 0.899095 -0.437125
490.051000 -6.182732 -3.882932 -0.256413 -0.009355 0.021668 0.935397 -0.352810
490.513000 -6.263058 -3.945060 -0.257203 -0.009807 0.021619 0.944005 -0.329076
491.008000 -6.355278 -4.013877 -0.258121 -0.010301 0.021549 0.952255 -0.304369
491.470000 -6.445226 -4.073509 -0.259252 -0.010683 0.021517 0.958824 -0.282983
491.932000 -6.533072 -4.126980 -0.260497 -0.010823 0.021608 0.961992 -0.272006
493.153000 -6.654527 -4.201385 -0.262041 -0.010802 0.021767 0.963468 -0.266719
493.648000 -6.755992 -4.258344 -0.263523 -0.010919 0.021870 0.966307 -0.256228
494.374000 -6.796292 -4.271071 -0.264636 -0.011951 0.021464 0.978839 -0.203153
494.638000 -6.802791 -4.252147 -0.265848 -0.014358 0.020110 0.996276 -0.082610
494.869000 -6.802703 -4.230964 -0.266945 -0.016681 0.018429 0.998766 0.042987
495.100000 -6.804447 -4.209860 -0.268108 -0.018686 0.016599 0.986667 0.160823
495.331000 -6.800210 -4.198705 -0.268702 -0.019719 0.015567 0.973663 0.226604
496.651000 -6.833677 -4.164662 -0.271389 -0.020708 0.014467 0.956016 0.292226
496.882000 -6.859881 -4.119691 -0.274301 -0.022083 0.012526 0.921259 0.388121
497.113000 -6.874816 -4.063659 -0.277333 -0.023509 0.009928 0.865589 0.500105
497.344000 -6.875851 -4.007305 -0.279976 -0.024567 0.007331 0.799934 0.599540
497.575000 -6.864435 -3.951898 -0.282226 -0.025330 0.004661 0.724824 0.688453
497.839000 -6.832995 -3.890059 -0.285863 -0.025525 0.001370 0.627369 0.778303
498.202000 -6.780045 -3.821384 -0.289142 -0.025301 -0.002064 0.514710 0.856988
498.433000 -6.735347 -3.781517 -0.291474 -0.024829 -0.003951 0.446966 0.894197
498.664000 -6.691102 -3.747644 -0.291391 -0.024717 -0.005504 0.389122 0.920838
498.928000 -6.639132 -3.712003 -0.291166 -0.024538 -0.006995 0.332959 0.942596
499.423000 -6.538160 -3.651883 -0.291075 -0.024113 -0.008300 0.281939 0.959093
499.918000 -6.436397 -3.597588 -0.291147 -0.023841 -0.009021 0.255445 0.966488
500.380000 -6.431270 -3.577015 -0.292097 -0.024347 -0.006857 0.345475 0.938087
500.611000 -6.444393 -3.563649 -0.293276 -0.024739 -0.004212 0.449381 0.892988
500.842000 -6.461479 -3.554789 -0.294385 -0.024829 -0.001512 0.548968 0.835473
501.073000 -6.470905 -3.552672 -0.292705 -0.025055 0.000316 0.601944 0.798145
501.304000 -6.468438 -3.542751 -0.290993 -0.025252 0.000712 0.608125 0.793440
501.766000 -6.415785 -3.453040 -0.291716 -0.025350 -0.001992 0.507892 0.861046
502.000000 -5.512369 -5.694074 -0.174351 -0.024741 -0.004205 0.434154 0.900489
502.261000 -6.327117 -3.380990 -0.295964 -0.024832 -0.006264 0.360473 0.932418
502.558000 -6.267248 -3.347193 -0.295747 -0.024301 -0.007739 0.303906 0.952361
503.119000 -6.182415 -3.289526 -0.295370 -0.024167 -0.007907 0.293701 0.955559
504.307000 -6.123237 -3.285664 -0.292581 -0.022988 -0.010918 0.163725 0.986178
504.538000 -6.073791 -3.292898 -0.290460 -0.021771 -0.013258 0.056435 0.998081
504.769000 -6.022429 -3.309962 -0.287824 -0.020232 -0.015575 -0.057842 0.997999
505.000000 -5.976963 -3.340778 -0.284740 -0.018256 -0.017757 -0.178335 0.983640
505.231000 -5.940578 -3.380504 -0.281547 -0.016178 -0.019584 -0.289555 0.956824
505.462000 -5.922522 -3.417097 -0.279010 -0.014150 -0.020986 -0.385258 0.922462
506.386000 -5.899484 -3.404931 -0.278405 -0.017279 -0.018362 -0.236405 0.971327
506.617000 -5.896545 -3.389714 -0.278484 -0.018871 -0.016589 -0.149312 0.988471
507.079000 -5.863002 -3.382374 -0.277410 -0.020072 -0.014933 -0.073313 0.996995
507.310000 -5.810129 -3.375023 -0.275836 -0.020993 -0.013443 -0.009524 0.999644
507.772000 -5.699720 -3.357042 -0.275447 -0.022058 -0.012506 0.070883 0.997162
508.000000 -4.805407 -5.578088 -0.156086 -0.022409 -0.012231 0.094271 0.995219
